area,pubs,pop
Isle of Anglesey,60,69961
Gwynedd,120,124178
Conwy,100,117181
Denbighshire,90,95330
Flintshire,100,155593
Wrexham,90,136126
Ceredigion,75,72992
Pembrokeshire,160,125055
Carmarthenshire,140,187568
Swansea,160,246466
Neath Port Talbot,80,142906
Bridgend,80,144876
Vale of Glamorgan,80,132165
Cardiff,175,364248
Rhondda Cynon Taf,145,240131
Caerphilly,105,181019
Blaenau Gwent,35,69713
Torfaen,40,93049
Monmouthshire,90,94142
Newport,70,153302
Powys,165,132447
Merthyr Tydfil,40,60183
