county,province,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Carlow,Leinster,106,,,,,,102,103,101,99,97,95,94,94
Cavan,Ulster,221,,,,,,212,204,195,195,190,191,190,187
Clare,Munster,373,,,,,,323,307,306,306,290,287,290,289
Cork,Munster,"1,221",,,,,,"1,010",988,980,964,954,943,915,908
Donegal,Ulster,453,,,,,,369,367,374,377,364,375,368,362
Dublin,Leinster,786,,,,,,761,741,750,770,772,765,773,776
Galway,Connacht,574,,,,,,507,490,489,486,474,480,477,464
Kerry,Munster,503,,,,,,460,445,449,454,435,445,439,443
Kildare,Leinster,191,,,,,,187,182,175,179,183,178,179,172
Kilkenny,Leinster,226,,,,,,206,202,197,193,191,194,195,192
Laois,Leinster,157,,,,,,122,124,124,128,123,128,123,124
Leitrim,Leinster,140,,,,,,110,109,113,110,108,107,106,104
Limerick,Munster,478,,,,,,391,376,362,361,359,357,356,345
Longford,Leinster,113,,,,,,95,89,87,91,89,90,92,91
Louth,Leinster,227,,,,,,188,192,196,185,182,190,189,192
Mayo,Connacht,467,,,,,,386,381,376,376,372,370,364,369
Meath,Leinster,210,,,,,,211,210,199,198,195,201,207,205
Monaghan,Ulster,121,,,,,,108,104,109,105,105,101,102,93
Offaly,Leinster,164,,,,,,132,126,134,126,126,130,127,127
Roscommon,Connacht,254,,,,,,218,211,210,208,202,198,196,196
Sligo,Connacht,179,,,,,,153,149,148,148,145,140,142,142
Tipperary,Munster,525,,,,,,445,439,431,428,422,412,410,407
Waterford,Munster,260,,,,,,224,224,226,224,220,221,219,213
Westmeath,Connacht,213,,,,,,171,173,168,164,169,175,170,166
Wexford,Leinster,297,,,,,,261,269,263,267,265,252,260,256
Wicklow,Leinster,158,,,,,,157,154,153,153,150,150,157,155
