code,area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
W06000001,Isle of Anglesey,75,85,90,85,85,90,90,80,80,75,70,75,55,60,60,60,60,60
W06000002,Gwynedd,135,135,145,145,135,145,150,160,150,135,130,140,140,140,125,120,120,120
W06000003,Conwy,105,115,95,105,115,115,120,120,105,100,100,105,95,100,100,90,95,100
W06000004,Denbighshire,110,120,115,115,115,120,120,115,105,95,90,95,100,105,110,95,90,90
W06000005,Flintshire,145,145,150,150,160,155,170,170,150,130,130,125,130,120,110,115,110,100
W06000006,Wrexham,130,140,105,110,120,135,135,130,115,115,115,110,105,105,100,95,85,90
W06000008,Ceredigion,75,80,85,90,90,90,100,105,95,95,95,95,85,80,80,75,75,75
W06000009,Pembrokeshire,205,205,200,215,220,220,230,225,220,200,185,185,175,170,175,165,170,160
W06000010,Carmarthenshire,225,235,225,235,230,235,235,230,200,185,175,180,165,155,155,145,140,140
W06000011,Swansea,200,230,215,220,225,235,230,215,215,195,185,165,155,165,165,160,160,160
W06000012,Neath Port Talbot,110,120,115,115,120,110,105,105,90,85,85,85,80,75,75,75,75,80
W06000013,Bridgend,120,120,105,105,110,115,130,120,105,105,100,95,90,90,95,90,85,80
W06000014,Vale of Glamorgan,100,100,95,95,105,100,95,95,100,105,100,95,100,100,90,85,80,80
W06000015,Cardiff,220,240,225,225,230,220,220,225,210,205,185,185,185,175,185,180,175,175
W06000016,Rhondda Cynon Taf,185,195,200,195,210,205,210,200,180,175,165,160,145,150,145,145,140,145
W06000018,Caerphilly,130,140,125,135,120,125,135,125,125,130,120,115,115,120,115,110,110,105
W06000019,Blaenau Gwent,45,55,40,60,55,55,60,55,50,45,45,45,40,45,45,45,40,35
W06000020,Torfaen,75,85,80,80,80,75,75,65,60,60,50,50,45,45,45,45,40,40
W06000021,Monmouthshire,115,125,125,120,125,120,120,130,120,120,105,100,100,100,95,95,90,90
W06000022,Newport,105,105,100,115,100,105,95,100,95,90,85,90,80,75,75,75,80,70
W06000023,Powys,235,230,220,220,230,235,235,245,235,200,190,195,185,180,180,175,170,165
W06000024,Merthyr Tydfil,55,55,50,50,55,55,55,55,45,45,45,45,50,50,40,45,45,40
